,aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
101,,동산마을22단지호반베르디움,2012,,,,80000,24,2,2022,중개거래,경기 고양덕양구,84.954,3,365,N,,41281,,동산동
102,,소만마을1단지,1995,,,,35900,26,2,2022,중개거래,경기 고양덕양구,45.48,14,796,N,,41281,,행신동
103,,샘터마을2,1996,,,,38000,25,2,2022,중개거래,경기 고양덕양구,49.97,4,983,N,,41281,,행신동
104,,달빛(라이프)2,1996,,,,34000,20,2,2022,중개거래,경기 고양덕양구,49.95,16,851,N,,41281,,화정동
105,,소만마을(동성),1994,,,,46000,12,2,2022,중개거래,경기 고양덕양구,59.4,3,791,N,,41281,,행신동
106,,샘터마을2,1996,,,,38000,17,2,2022,중개거래,경기 고양덕양구,49.96,13,983,N,,41281,,행신동
107,,샘터마을(효성),1997,,,,63000,19,2,2022,중개거래,경기 고양덕양구,101.8,18,973,N,,41281,,행신동
108,,소만마을3단지(늘푸른아파트),1996,,,,42700,16,2,2022,중개거래,경기 고양덕양구,51.03,14,799,N,,41281,,행신동
109,,능곡대림,1996,,,,52000,19,2,2022,중개거래,경기 고양덕양구,59.892,15,860,N,,41281,,토당동
110,,고양동우방유쉘아파트,2007,,,,30000,7,2,2022,직거래,,84.93,15,454,N,,41281,,고양동
111,,대림2,1997,,,,53500,21,2,2022,중개거래,경기 고양덕양구,59.4,7,259,N,,41281,,토당동
112,,장미아파트(나동),1991,,,,37000,23,2,2022,중개거래,경기 고양덕양구,79.06,7,644-1,N,,41281,,행신동
113,,소만마을(성원)6,1995,,,,50000,21,2,2022,중개거래,경기 고양덕양구,59.34,6,785,N,,41281,,행신동
114,,더퍼스트프라임,2014,,,,37000,23,2,2022,중개거래,경기 고양덕양구,59.826,9,1015,N,,41281,,관산동
115,,DMC호반베르디움더포레2단지,2019,,,,82000,20,2,2022,중개거래,경기 고양덕양구,70.8787,20,571,N,,41281,,향동동
116,,삼윤,1991,,,,32500,9,2,2022,중개거래,경기 고양덕양구,68.83,6,879,N,,41281,,토당동
117,,옥빛마을14단지,1995,,,,40000,24,2,2022,중개거래,경기 고양덕양구,50,2,1004,N,,41281,,화정동
118,,은빛마을11단지,1996,,,,57000,28,2,2022,중개거래,경기 고양덕양구,60,11,961,N,,41281,,화정동
119,,새서울,1983,,,,24000,25,2,2022,중개거래,경기 고양덕양구,56.7,4,178-57,N,,41281,,관산동
120,,삼송2차원흥역동원로얄듀크비스타,2020,,,,80000,17,2,2022,중개거래,경기 고양덕양구,84.9867,33,635,N,,41281,,원흥동
121,,일신건영아파트(햇빛마을),1997,,,,65000,27,2,2022,중개거래,경기 고양덕양구,99.78,7,958,N,,41281,,행신동
122,,소만마을1단지,1995,,,,37000,25,2,2022,중개거래,경기 고양덕양구,45.48,8,796,N,,41281,,행신동
123,,임창(488-56),1988,,,,20000,24,2,2022,직거래,,43.02,3,488-56,N,,41281,,성사동
124,,도래울파크뷰,2013,,,,78000,22,2,2022,중개거래,경기 고양덕양구,84.88,10,1103,N,,41281,,도내동
125,,은빛마을6단지,1996,,,,98000,17,2,2022,중개거래,경기 고양덕양구,132.81,6,936,N,,41281,,화정동
126,,샘터마을(효성),1997,,,,81000,2,2,2022,직거래,,134.88,19,973,N,,41281,,행신동
127,,원흥호반베르디움더퍼스트5단지,2017,,,,82000,6,2,2022,중개거래,경기 고양덕양구,84.9491,5,1006,N,,41281,,도내동
128,,삼송2차원흥역동원로얄듀크비스타,2020,,,,80000,28,2,2022,중개거래,경기 고양덕양구,84.9867,29,635,N,,41281,,원흥동
129,,소만마을(풍림),1994,,,,37250,26,2,2022,중개거래,경기 고양덕양구,45.36,11,781,N,,41281,,행신동
130,,햇빛주공23,1996,,,,39900,24,2,2022,중개거래,경기 고양덕양구,59.56,1,953,N,,41281,,행신동
131,,달빛마을(부영)2,1996,,,,32000,11,2,2022,중개거래,경기 고양덕양구,50,18,851,N,,41281,,화정동
132,,소만마을9단지,1995,,,,33000,19,2,2022,중개거래,경기 고양덕양구,43.76,4,793,N,,41281,,행신동
133,,햇빛주공23,1996,,,,43000,27,2,2022,중개거래,경기 고양덕양구,59.93,14,953,N,,41281,,행신동
134,,삼송2차아이파크,2015,,,,64000,23,2,2022,직거래,,74.988,16,311,N,,41281,,삼송동
135,,금호,2000,,,,40000,22,2,2022,중개거래,경기 고양덕양구,56.48,7,282-2,N,,41281,,토당동
136,,동산마을22단지호반베르디움,2012,,,,85500,12,2,2022,중개거래,경기 고양덕양구,84.954,7,365,N,,41281,,동산동
137,,소만마을(성원)6,1995,,,,43000,13,2,2022,중개거래,경기 고양덕양구,49.77,9,785,N,,41281,,행신동
138,,삼송2차아이파크,2015,,,,60000,25,2,2022,직거래,,74.988,8,311,N,,41281,,삼송동
139,,소만마을(대명)7,1995,,,,45950,5,2,2022,중개거래,경기 고양덕양구,59.04,6,783,N,,41281,,행신동
140,,소만마을(대명)7,1995,,,,47500,3,2,2022,중개거래,경기 고양덕양구,59.04,4,783,N,,41281,,행신동
141,,소만마을3단지(늘푸른아파트),1996,,,,42500,21,2,2022,중개거래,경기 고양덕양구,51.03,4,799,N,,41281,,행신동
142,,옥빛마을(주공)17(에듀뷰),1997,,,,63000,16,2,2022,중개거래,경기 고양덕양구,84.79,11,1135,N,,41281,,화정동
143,,삼혜그린뷰,2003,,,,40000,8,2,2022,중개거래,경기 고양덕양구 경기 고양일산동구,84.32,7,609-1,N,,41281,,주교동
144,,능곡현대홈타운2,2002,,,,65000,3,2,2022,중개거래,경기 고양덕양구,84.45,23,53-44,N,,41281,,토당동
145,,소만마을1단지,1995,,,,35000,15,2,2022,중개거래,경기 고양덕양구,45.48,4,796,N,,41281,,행신동
146,,무원마을(기산),1994,,,,58000,5,2,2022,중개거래,경기 고양덕양구,101.91,10,697,N,,41281,,행신동
147,,옥빛마을(일신건영)13(휴먼빌),1995,,,,54700,11,2,2022,중개거래,경기 고양덕양구,59.835,1,987,N,,41281,,화정동
148,,동산마을22단지호반베르디움,2012,,,,65000,19,2,2022,직거래,,84.9713,7,365,N,,41281,,동산동
149,,고양삼송동원로얄듀크,2012,,,,58100,19,2,2022,중개거래,경기 고양덕양구,84.9609,13,306,N,,41281,,삼송동
150,,햇빛주공23,1996,,,,41800,12,2,2022,중개거래,경기 고양덕양구,59.97,6,953,N,,41281,,행신동
151,,햇빛주공23,1996,,,,46000,16,2,2022,중개거래,경기 고양덕양구,59.56,10,953,N,,41281,,행신동
152,,은빛마을11단지,1996,,,,56900,9,2,2022,중개거래,경기 고양덕양구,60,12,961,N,,41281,,화정동
153,,별빛마을9단지(907동에서912동),1995,,,,65500,11,2,2022,중개거래,경기 고양덕양구,84.93,17,948,N,,41281,,화정동
