,aptNm,buildYear,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,excluUseAr,floor,sggCd,umdNm,dealYearMonth
131,숲속마을8단지,2006,39900.0,6,1,2022,중개거래,59.83,2,41285,풍동,20221
132,위시티일산자이2단지,2010,89000.0,15,1,2022,중개거래,130.0652,16,41285,식사동,20221
133,위시티일산자이2단지,2010,110000.0,14,1,2022,중개거래,162.7081,22,41285,식사동,20221
134,일산요진와이시티,2016,119000.0,11,1,2022,중개거래,103.84,12,41285,백석동,20221
135,일산센트럴아이파크,2018,83000.0,16,1,2022,중개거래,84.9854,13,41285,중산동,20221
136,위시티일산자이1단지,2010,69000.0,21,1,2022,중개거래,84.7861,15,41285,식사동,20221
137,중산마을5(건영),1995,31000.0,5,1,2022,중개거래,59.945,4,41285,중산동,20221
138,중산마을5(건영),1995,27000.0,7,1,2022,중개거래,59.99,1,41285,중산동,20221
139,하늘마을2단지,2007,52400.0,11,1,2022,중개거래,84.72,11,41285,중산동,20221
140,중산마을11(현대),1995,44800.0,17,1,2022,중개거래,84.36,3,41285,중산동,20221
141,산들마을2(대림),2002,67000.0,15,1,2022,중개거래,134.926,19,41285,중산동,20221
142,백마마을(삼성),1993,90000.0,1,1,2022,중개거래,133.47,9,41285,마두동,20221
143,숲속마을8단지,2006,42700.0,10,1,2022,중개거래,59.72,18,41285,풍동,20221
144,일산센트럴아이파크,2018,79000.0,14,1,2022,직거래,84.9742,8,41285,중산동,20221
145,숲속마을(7단지),2006,52000.0,10,1,2022,중개거래,84.78,19,41285,풍동,20221
146,강촌마을(한양6),1998,26500.0,19,1,2022,중개거래,35.1,18,41285,마두동,20221
147,위시티블루밍3단지,2010,75000.0,8,1,2022,중개거래,101.9,19,41285,식사동,20221
148,숲속마을(7단지),2006,53000.0,6,1,2022,중개거래,84.97,11,41285,풍동,20221
149,백마마을(한양3),1995,29400.0,4,1,2022,중개거래,41.13,13,41285,마두동,20221
150,백송마을(삼호),1992,46000.0,8,1,2022,중개거래,59.99,2,41285,백석동,20221
151,위시티일산자이1단지,2010,109000.0,19,1,2022,중개거래,162.7081,5,41285,식사동,20221
152,호수마을(대우),1996,49000.0,8,1,2022,중개거래,70.89,21,41285,장항동,20221
153,백송마을(한신),1992,30000.0,6,1,2022,중개거래,39.935,3,41285,백석동,20221
154,중산마을1단지(두산),1995,21250.0,5,1,2022,중개거래,37.35,11,41285,중산동,20221
155,중산마을7(코오롱),1995,50000.0,5,1,2022,직거래,134.97,3,41285,중산동,20221
156,백송마을(삼부),1993,61500.0,2,1,2022,중개거래,84.99,17,41285,백석동,20221
